sample_id,site,mineral,Au,Cu,Fe,S,O
S00001,Kapoeta_East,gold,1,0,0,0,0
S00002,Kapoeta_East,gold,1,0,0,0,0
S00003,Kapoeta_East,gold,1,0,0,0,0
S00004,Kapoeta_East,gold,1,0,0,0,0
S00005,Kapoeta_East,gold,1,0,0,0,0
S00006,Kapoeta_East,gold,1,0,0,0,0
S00007,Kapoeta_East,gold,1,0,0,0,0
S00008,Kapoeta_East,gold,1,0,0,0,0
S00009,Kapoeta_East,gold,1,0,0,0,0
S00010,Kapoeta_East,gold,1,0,0,0,0
S00011,Kapoeta_East,gold,1,0,0,0,0
S00012,Kapoeta_East,gold,1,0,0,0,0
S00013,Kapoeta_East,gold,1,0,0,0,0
S00014,Kapoeta_East,gold,1,0,0,0,0
S00015,Kapoeta_East,gold,1,0,0,0,0
S00016,Kapoeta_East,gold,1,0,0,0,0
S00017,Kapoeta_East,gold,1,0,0,0,0
S00018,Kapoeta_East,gold,1,0,0,0,0
S00019,Kapoeta_East,gold,1,0,0,0,0
S00020,Kapoeta_East,gold,1,0,0,0,0
S00021,Kapoeta_East,gold,1,0,0,0,0
S00022,Kapoeta_East,gold,1,0,0,0,0
S00023,Kapoeta_East,gold,1,0,0,0,0
S00024,Kapoeta_East,gold,1,0,0,0,0
S00025,Kapoeta_East,gold,1,0,0,0,0
S00026,Kapoeta_East,gold,1,0,0,0,0
S00027,Kapoeta_East,gold,1,0,0,0,0
S00028,Kapoeta_East,gold,1,0,0,0,0
S00029,Kapoeta_East,gold,1,0,0,0,0
S00030,Kapoeta_East,gold,1,0,0,0,0
S00031,Kapoeta_East,gold,1,0,0,0,0
S00032,Kapoeta_East,gold,1,0,0,0,0
S00033,Kapoeta_East,gold,1,0,0,0,0
S00034,Kapoeta_East,gold,1,0,0,0,0
S00035,Kapoeta_East,gold,1,0,0,0,0
S00036,Kapoeta_East,gold,1,0,0,0,0
S00037,Kapoeta_East,gold,1,0,0,0,0
S00038,Kapoeta_East,gold,1,0,0,0,0
S00039,Kapoeta_East,gold,1,0,0,0,0
S00040,Kapoeta_East,gold,1,0,0,0,0
S00041,Kapoeta_East,gold,1,0,0,0,0
S00042,Kapoeta_East,gold,1,0,0,0,0
S00043,Kapoeta_East,gold,1,0,0,0,0
S00044,Kapoeta_East,gold,1,0,0,0,0
S00045,Kapoeta_East,gold,1,0,0,0,0
S00046,Kapoeta_East,gold,1,0,0,0,0
S00047,Kapoeta_East,gold,1,0,0,0,0
S00048,Kapoeta_East,gold,1,0,0,0,0
S00049,Kapoeta_East,gold,1,0,0,0,0
S00050,Kapoeta_East,gold,1,0,0,0,0
S00051,Kapoeta_East,gold,1,0,0,0,0
S00052,Kapoeta_East,gold,1,0,0,0,0
S00053,Kapoeta_East,gold,1,0,0,0,0
S00054,Kapoeta_East,gold,1,0,0,0,0
S00055,Kapoeta_East,gold,1,0,0,0,0
S00056,Kapoeta_East,gold,1,0,0,0,0
S00057,Kapoeta_East,gold,1,0,0,0,0
S00058,Kapoeta_East,gold,1,0,0,0,0
S00059,Kapoeta_East,gold,1,0,0,0,0
S00060,Kapoeta_East,gold,1,0,0,0,0
S00061,Kapoeta_East,gold,1,0,0,0,0
S00062,Kapoeta_East,gold,1,0,0,0,0
S00063,Kapoeta_East,gold,1,0,0,0,0
S00064,Kapoeta_East,gold,1,0,0,0,0
S00065,Kapoeta_East,gold,1,0,0,0,0
S00066,Kapoeta_East,gold,1,0,0,0,0
S00067,Kapoeta_East,gold,1,0,0,0,0
S00068,Kapoeta_East,gold,1,0,0,0,0
S00069,Kapoeta_East,gold,1,0,0,0,0
S00070,Kapoeta_East,gold,1,0,0,0,0
S00071,Kapoeta_East,gold,1,0,0,0,0
S00072,Kapoeta_East,gold,1,0,0,0,0
S00073,Kapoeta_East,gold,1,0,0,0,0
S00074,Kapoeta_East,gold,1,0,0,0,0
S00075,Kapoeta_East,gold,1,0,0,0,0
S00076,Kapoeta_East,gold,1,0,0,0,0
S00077,Kapoeta_East,gold,1,0,0,0,0
S00078,Kapoeta_East,gold,1,0,0,0,0
S00079,Kapoeta_East,gold,1,0,0,0,0
S00080,Kapoeta_East,gold,1,0,0,0,0
S00081,Kapoeta_East,gold,1,0,0,0,0
S00082,Kapoeta_East,gold,1,0,0,0,0
S00083,Kapoeta_East,gold,1,0,0,0,0
S00084,Kapoeta_East,gold,1,0,0,0,0
S00085,Kapoeta_East,gold,1,0,0,0,0
S00086,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00087,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00088,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00089,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00090,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00091,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00092,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00093,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00094,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00095,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00096,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00097,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00098,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00099,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00100,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00101,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00102,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00103,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00104,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00105,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00106,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00107,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00108,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00109,Kapoeta_East,chalcopyrite,0,1,1,2,0
S00110,Kapoeta_East,chalcopyrite,0,1,1,2,0
