sample_id,site,mineral,image_path,audio_path,Au,Cu,Fe,S,O
S00001,Kapoeta_East,gold,images\Kapoeta_East\gold\00185320017579428891194.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_003.wav,1,0,0,0,0
S00002,Kapoeta_East,gold,images\Kapoeta_East\gold\00291600017617126703954.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_004.wav,1,0,0,0,0
S00003,Kapoeta_East,gold,images\Kapoeta_East\gold\00440250017637661418244.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_001.wav,1,0,0,0,0
S00004,Kapoeta_East,gold,images\Kapoeta_East\gold\00590940017555323139936.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_003.wav,1,0,0,0,0
S00005,Kapoeta_East,gold,images\Kapoeta_East\gold\00604650017633654644931.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_007.wav,1,0,0,0,0
S00006,Kapoeta_East,gold,images\Kapoeta_East\gold\00682700017555250307507.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_003.wav,1,0,0,0,0
S00007,Kapoeta_East,gold,images\Kapoeta_East\gold\00697610017558168952648.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_004.wav,1,0,0,0,0
S00008,Kapoeta_East,gold,images\Kapoeta_East\gold\00789100017589731412960.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_003.wav,1,0,0,0,0
S00009,Kapoeta_East,gold,images\Kapoeta_East\gold\00918520017619990739286.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_007.wav,1,0,0,0,0
S00010,Kapoeta_East,gold,images\Kapoeta_East\gold\00947400017549908574400.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_006.wav,1,0,0,0,0
S00011,Kapoeta_East,gold,images\Kapoeta_East\gold\01175570017557804198128.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_000.wav,1,0,0,0,0
S00012,Kapoeta_East,gold,images\Kapoeta_East\gold\01199450017634861953999.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_008.wav,1,0,0,0,0
S00013,Kapoeta_East,gold,images\Kapoeta_East\gold\01235420017621557064548.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_008.wav,1,0,0,0,0
S00014,Kapoeta_East,gold,images\Kapoeta_East\gold\01268710017619990786723.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_005.wav,1,0,0,0,0
S00015,Kapoeta_East,gold,images\Kapoeta_East\gold\01381690017575863324398.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_004.wav,1,0,0,0,0
S00016,Kapoeta_East,gold,images\Kapoeta_East\gold\01561750017574921041697.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_000.wav,1,0,0,0,0
S00017,Kapoeta_East,gold,images\Kapoeta_East\gold\01638020017581447402143.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_008.wav,1,0,0,0,0
S00018,Kapoeta_East,gold,images\Kapoeta_East\gold\01833870017634395221607.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_003.wav,1,0,0,0,0
S00019,Kapoeta_East,gold,images\Kapoeta_East\gold\01875810017628053971511.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_008.wav,1,0,0,0,0
S00020,Kapoeta_East,gold,images\Kapoeta_East\gold\01883040017637661477381.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_007.wav,1,0,0,0,0
S00021,Kapoeta_East,gold,images\Kapoeta_East\gold\01923580017658956921184.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_006.wav,1,0,0,0,0
S00022,Kapoeta_East,gold,images\Kapoeta_East\gold\02032560017633747644764.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_001.wav,1,0,0,0,0
S00023,Kapoeta_East,gold,images\Kapoeta_East\gold\02066640017629438378804.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_005.wav,1,0,0,0,0
S00024,Kapoeta_East,gold,images\Kapoeta_East\gold\02130040017555323137357.jpg,audio\Kapoeta_East\gold\Kapoeta_East_gold_007.wav,1,0,0,0,0
